Year,Advertising ,Biotechnology ,CleanTech,CuratedWeb,eCommerce,Education,Enterprise,Finance,Games,Health,Health,Manufacturing,Mobile,SocialMedia 
2000,0,86399,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,73116,0,0,0,0,0,22740,0,0,0,34320,62630,0
2002,0,51050,0,0,3620,0,50000,0,0,0,0,0,0,0
2003,0,38800,40000,0,25000,0,0,0,0,0,0,0,0,0
2004,0,37288,0,50000,70000,0,0,0,0,0,0,95000,0,0
2005,100000,154999,84077,17500,0,51000,0,0,0,81600,0,0,76900,15270
2006,50000,156295,40000,120000,130000,0,9542,123000,110500,92500,0,0,261900,64870
2007,202000,240249,60000,258300,254063,50000,165000,0,112596,125000,0,76500,174000,155850
2008,341286,50000,87500,473705,240000,90000,237840,153798,55000,0,52500,0,230788,25000
2009,365000,511898,361666,695044,315147,271885,321500,12000,588556,91500,153671,65454,281743,227000
2010,313111,711130,194477,763815,866724,155000,150000,407407,485922,358115,14273,170000,551151,725702
2011,561105,300408,205000,1396851,1209296,787640,395353,86069,1191751,197885,439437,55000,1376443,1062257
2012,641236,422550,435000,1462391,2024493,1127584,589875,279877,637819,344869,298626,127402,1738561,1681207
2013,511747,142500,456299,1211181,1953616,700013,403401,278497,507252,480340,347982,96434,941799,969153
2014,88623,0,131200,142000,139745,286000,45000,101500,329523,132202,87500,92900,109500,77616
